user_id,ethnicity,gender,SATM,SATR,
972283,1,2,710,670,
973297,2,1,740,780,
973452,,,590,670,
974664,1,1,,740,
976212,1,1,530,560,
976476,2,2,,770,
977097,,,770,750,
977146,2,1,770,750,
978435,,1,680,720,
978660,,2,650,780,
982564,1,1,660,730,
982933,1,1,800,680,
985281,2,2,800,790,
986725,1,2,730,720,
987877,1,2,710,740,
987945,1,2,800,,
988681,1,1,800,770,
988865,4,1,,790,
989354,2,2,800,,
990420,,,800,560,
991979,,1,720,720,
993922,,2,800,,
995047,1,2,800,,
996669,,2,680,680,
997426,1,2,,760,
997461,1,2,760,760,
997526,1,1,650,710,
997823,,,800,760,
998380,1,2,790,680,
998577,2,1,800,,
999120,1,2,780,,
999353,2,2,800,750,
999688,1,2,720,730,
